asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:32,506 | PPO objective after epoch 31: 23.969526290893555
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:32,506 | Value loss (MSE loss) after epoch 31: 3329660.5
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:32,506 | Behavioral cloning loss (Bob loss) after epoch 31: 1.070380449295044
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:32,576 | PPO objective after epoch 32: 1917.530029296875
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:32,577 | Value loss (MSE loss) after epoch 32: 40592384000.0
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:32,577 | Behavioral cloning loss (Bob loss) after epoch 32: 1.0837000608444214
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:32,639 | PPO objective after epoch 33: 12.200821876525879
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:32,639 | Value loss (MSE loss) after epoch 33: 682463.5625
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:32,639 | Behavioral cloning loss (Bob loss) after epoch 33: 1.0632963180541992
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:32,700 | PPO objective after epoch 34: 10.003205299377441
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:32,700 | Value loss (MSE loss) after epoch 34: 373649.625
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:32,700 | Behavioral cloning loss (Bob loss) after epoch 34: 0.9589218497276306
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:32,763 | PPO objective after epoch 35: 34.90047836303711
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:32,763 | Value loss (MSE loss) after epoch 35: 8152540.0
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:32,763 | Behavioral cloning loss (Bob loss) after epoch 35: 1.0687817335128784
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:32,830 | PPO objective after epoch 36: 467.8899841308594
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:32,830 | Value loss (MSE loss) after epoch 36: 1816605824.0
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:32,830 | Behavioral cloning loss (Bob loss) after epoch 36: 1.0564570426940918
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:32,887 | PPO objective after epoch 37: 30.76929473876953
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:32,887 | Value loss (MSE loss) after epoch 37: 4142858.25
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:32,887 | Behavioral cloning loss (Bob loss) after epoch 37: 0.9809387922286987
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:32,952 | PPO objective after epoch 38: 4.385653972625732
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:32,952 | Value loss (MSE loss) after epoch 38: 44429.96875
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:32,952 | Behavioral cloning loss (Bob loss) after epoch 38: 1.0174928903579712
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:33,022 | PPO objective after epoch 39: 6.0119099617004395
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:33,022 | Value loss (MSE loss) after epoch 39: 133394.5625
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:33,022 | Behavioral cloning loss (Bob loss) after epoch 39: 1.0512502193450928
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:33,078 | PPO objective after epoch 40: 6.175241470336914
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:33,078 | Value loss (MSE loss) after epoch 40: 90760.9609375
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:33,078 | Behavioral cloning loss (Bob loss) after epoch 40: 0.9687775373458862
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:33,146 | PPO objective after epoch 41: 45.889610290527344
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:33,146 | Value loss (MSE loss) after epoch 41: 12237669.0
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:33,146 | Behavioral cloning loss (Bob loss) after epoch 41: 1.0370078086853027
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:33,210 | PPO objective after epoch 42: 40.14725112915039
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:33,210 | Value loss (MSE loss) after epoch 42: 5653799.0
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:33,210 | Behavioral cloning loss (Bob loss) after epoch 42: 1.0712593793869019
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:33,279 | PPO objective after epoch 43: 87.4655990600586
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:33,279 | Value loss (MSE loss) after epoch 43: 39517384.0
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:33,279 | Behavioral cloning loss (Bob loss) after epoch 43: 1.0890424251556396
